格调绮园 || 11.2平米 || 1830元/月
奥城公寓 || 110平米 || 7500元/月
宝德里 || 34平米 || 1800元/月
通达新苑 || 92.1平米 || 3200元/月
南华里 || 35平米 || 1600元/月
建湖里 || 31平米 || 1400元/月
四新里 || 37.11平米 || 1600元/月
福至里 || 31.81平米 || 2500元/月
富力津门湖江湾广场 || 45平米 || 2300元/月
泰丰家园 || 118.08平米 || 3500元/月
新津国际 || 85平米 || 3000元/月
泰达时尚旺角 || 94平米 || 3100元/月
紫云园 || 129.67平米 || 3300元/月
新城小区 || 30平米 || 1850元/月
千间小区 || 60平米 || 1400元/月
育学里 || 50.67平米 || 2600元/月
金兰园 || 108平米 || 3400元/月
博雅轩人才公寓 || 110平米 || 4300元/月
大通时尚花园 || 132平米 || 3800元/月
云汉楼 || 36.6平米 || 1700元/月
绿岛家园 || 118平米 || 2600元/月
市政里 || 61.1平米 || 2800元/月
纽约公寓 || 111.14平米 || 4000元/月
天房美棠 || 97平米 || 3300元/月
湖北路 || 107.76平米 || 6000元/月
气象南里 || 45.57平米 || 1400元/月
瑞湾国际 || 82.31平米 || 2700元/月
泰达时代 || 140平米 || 4500元/月
秋实园 || 81平米 || 3500元/月
常州里 || 40.8平米 || 2400元/月
海泰渤龙湾 || 213.54平米 || 2000元/月
月牙河北里 || 42平米 || 1100元/月
天房美棠 || 97.34平米 || 4300元/月
南华里(津南区) || 87平米 || 1100元/月
融科瀚棠 || 90.83平米 || 9000元/月
元兴新里 || 37.43平米 || 1400元/月
平陆西里 || 25.56平米 || 4000元/月
景福里 || 78.71平米 || 2100元/月
日华里 || 78.75平米 || 3200元/月
京津星公馆 || 124.51平米 || 5000元/月
雅境新枫尚 || 144平米 || 5500元/月
万通华府三期 || 87.97平米 || 6000元/月
凯德国贸 || 100.76平米 || 8500元/月
山海天家园 || 192.4平米 || 13000元/月
同善里 || 42.46平米 || 1800元/月
生昌里 || 53.14平米 || 3400元/月
华亭公寓 || 121平米 || 3000元/月
文静里 || 44.6平米 || 2000元/月
祥和里 || 35平米 || 1600元/月
晨光楼 || 25.66平米 || 1700元/月
吉安里 || 65.92平米 || 2500元/月
美华大厦 || 210平米 || 10000元/月
环湖西里 || 52平米 || 2400元/月
金泉里 || 79平米 || 3000元/月
金云里 || 96.69平米 || 3500元/月
乐达里 || 92平米 || 2000元/月
安居原尚园 || 91.48平米 || 800元/月
西园西里 || 80平米 || 6500元/月
乘云里 || 34平米 || 1600元/月
纪发公寓 || 116.32平米 || 3800元/月
林苑北里 || 57.84平米 || 2300元/月
红磡领世郡常春藤 || 125平米 || 3000元/月
天房天拖 || 102平米 || 3300元/月
忠信里 || 50平米 || 2800元/月
江门里 || 79.52平米 || 3200元/月
先进里 || 52平米 || 1800元/月
海河大观 || 212.26平米 || 8500元/月
前程里(河西区) || 60平米 || 2100元/月
流霞里 || 74.39平米 || 2000元/月
广林园 || 95平米 || 3600元/月
宫前东园 || 99平米 || 3000元/月
新安花园 || 99.74平米 || 4500元/月
正义里 || 38.41平米 || 1200元/月
社会山南苑 || 187平米 || 4500元/月
万科四季花城 || 89.7平米 || 2700元/月
德恩里 || 104.95平米 || 3800元/月
美韵家园 || 131平米 || 5000元/月
馨达园 || 146.33平米 || 5500元/月
水上温泉花园 || 106平米 || 2500元/月
中海寰宇天下 || 91平米 || 4800元/月
吉利花园 || 73.16平米 || 4000元/月
玉泉里 || 50.74平米 || 2100元/月
亚中花园 || 65.78平米 || 2600元/月
联发欣悦学府 || 112平米 || 2500元/月
中粮大道 || 69.22平米 || 4000元/月
天津湾海景文苑 || 142.64平米 || 5300元/月
招商钻石山 || 87平米 || 5000元/月
鼎泰大厦 || 125平米 || 5500元/月
滨海新城 || 127平米 || 3800元/月
安德里 || 54平米 || 2500元/月
跃进里 || 70.57平米 || 1600元/月
水木天成逸树园 || 88.36平米 || 2600元/月
庆华里 || 70.27平米 || 2700元/月
麦迪逊 || 102.78平米 || 5000元/月
襄阳道 || 40平米 || 2400元/月
远洋新干线 || 133.12平米 || 5000元/月
中海城市广场 || 202.98平米 || 16500元/月
景兴里 || 60平米 || 2600元/月
横江里 || 26.18平米 || 1700元/月
雅润嘉园 || 82平米 || 2600元/月
远洋新干线 || 135.47平米 || 4000元/月
天辰里小区 || 110平米 || 1500元/月
长达公寓 || 66.45平米 || 2300元/月
融创中心实泽园 || 97.22平米 || 5300元/月
莱茵春天 || 109平米 || 2300元/月
东园花园 || 112平米 || 3200元/月
居华里 || 77.65平米 || 2300元/月
滨海浙商蓝庭国际 || 52平米 || 2400元/月
天新里 || 35.1平米 || 1950元/月
孚德里 || 31.4平米 || 1700元/月
云居里 || 73.2平米 || 2600元/月
富力津门湖江湾广场 || 40.81平米 || 2500元/月
秋星里 || 43.95平米 || 1700元/月
新世纪城 || 103平米 || 4000元/月
朝阳里（北辰区） || 54平米 || 1100元/月
尚北园 || 90平米 || 2300元/月
湯臣津湾一品 || 116.18平米 || 7200元/月
东惠家园 || 48.51平米 || 1600元/月
富力津门湖 || 93平米 || 4000元/月
庆有西里 || 45平米 || 2200元/月
亚中花园 || 86平米 || 3200元/月
恩德西里 || 42平米 || 2200元/月
长华里 || 91.5平米 || 3200元/月
团结东里 || 60.52平米 || 2200元/月
社会山Bigparty || 91平米 || 2000元/月
中海金湖湾 || 108平米 || 2800元/月
庆丰里 || 29平米 || 1800元/月
新城市花园 || 156.4平米 || 5000元/月
恋日风景 || 67.77平米 || 3000元/月
桃源观邸 || 91平米 || 2300元/月
万隆花园 || 78.22平米 || 2300元/月
城市之光别馆公寓 || 50.2平米 || 2500元/月
弘轩公寓 || 108平米 || 3200元/月
英俊名邸 || 59平米 || 2800元/月
琼州道 || 52.97平米 || 3500元/月
海景雅苑 || 92平米 || 4000元/月
宝翠花都探景园 || 87平米 || 2400元/月
华江里 || 34平米 || 1200元/月
第六大道第博雅园 || 216平米 || 6200元/月
溪波里 || 64平米 || 2400元/月
瑞湾国际 || 76.63平米 || 2800元/月
中裕园 || 31.86平米 || 2200元/月
城市之光月光园 || 96.06平米 || 3300元/月
宝德里 || 35平米 || 2000元/月
富力湾天阔园 || 147.48平米 || 4700元/月
南园里 || 54平米 || 3000元/月
群富里 || 65.04平米 || 2800元/月
揽城苑 || 91.28平米 || 2000元/月
阳光金地 || 50平米 || 2200元/月
珠海里 || 25.78平米 || 1800元/月
久仰里 || 58.97平米 || 3800元/月
江川里 || 50.29平米 || 1900元/月
康达公寓 || 165.98平米 || 6400元/月
诚基经贸中心 || 59.47平米 || 2300元/月
孚德里 || 96.56平米 || 4000元/月
三潭东里 || 27.29平米 || 1800元/月
滨悦花园 || 91.05平米 || 1800元/月
久安里 || 68平米 || 1600元/月
云广新里 || 43.63平米 || 1600元/月
汇川家园 || 64.13平米 || 2200元/月
海汇名邸 || 46.04平米 || 3200元/月
中裕园 || 70平米 || 2600元/月
尚友里 || 35.5平米 || 2200元/月
塞纳公馆 || 62平米 || 2800元/月
濠景国际 || 60.45平米 || 2500元/月
南江东里 || 30平米 || 1500元/月
月荣轩 || 90平米 || 2500元/月
凯兴天宝公寓 || 188.75平米 || 7000元/月
东尚名居 || 96平米 || 3600元/月
东瑞家园 || 48平米 || 1500元/月
水岸江南天湾园 || 88平米 || 3300元/月
仁恒河滨花园 || 105.48平米 || 7000元/月
滨河新苑 || 76.08平米 || 2500元/月
唐口新村六段 || 56平米 || 1300元/月
环友里 || 78.55平米 || 2500元/月
前程里(河西区) || 38平米 || 1900元/月
利海家园 || 72.9平米 || 2200元/月
积庆里 || 21.99平米 || 1000元/月
富力桃园天富园 || 90平米 || 2500元/月
奥城公寓 || 34.01平米 || 2000元/月
桃源观邸 || 91平米 || 2300元/月
万隆花园 || 78.22平米 || 2300元/月
常州里 || 33平米 || 1500元/月
北宁湾-宁宇家园 || 50平米 || 2100元/月
九州国际 || 114.17平米 || 5800元/月
成都道 || 40平米 || 2700元/月
星河香堤园 || 126平米 || 3500元/月
东景大厦 || 125平米 || 4600元/月
宾泰公寓 || 128平米 || 4000元/月
静德花园 || 137平米 || 7200元/月
路劲太阳城 || 90.58平米 || 3000元/月
诚基经贸中心 || 50.37平米 || 2200元/月
公馆1882 || 82.17平米 || 6500元/月
怒江里 || 30平米 || 1400元/月
假日风景花园 || 87.36平米 || 2700元/月
昆璞里 || 40平米 || 1600元/月
互助南里 || 53.65平米 || 1600元/月
丁字沽七段 || 43平米 || 1400元/月
康达尚郡 || 40.72平米 || 2200元/月
翰雅园 || 140.62平米 || 4200元/月
级升里 || 34.17平米 || 2100元/月
盈江东里 || 35.35平米 || 2300元/月
华亭公寓 || 67平米 || 2500元/月
中粮大道 || 69.42平米 || 4500元/月
盈润园 || 80平米 || 2500元/月
阳光星期八昕旺北苑 || 97.66平米 || 3300元/月
滨河新苑 || 76.44平米 || 2600元/月
融科金月湾 || 84平米 || 3000元/月
雪莲东里 || 72.42平米 || 2200元/月
嘉华里 || 23.76平米 || 1500元/月
兴泰西里 || 65平米 || 2600元/月
华夏津典畅水园 || 95.88平米 || 3700元/月
临营西里 || 39平米 || 1500元/月
远洋心里 || 90平米 || 2500元/月
远洋心里 || 80平米 || 2500元/月
远洋心里 || 80平米 || 2500元/月
律笛里 || 26平米 || 1500元/月
远洋心里 || 90平米 || 2500元/月
吉安里 || 73平米 || 2400元/月
春华里 || 26.82平米 || 1600元/月
宫民里 || 57.58平米 || 1500元/月
碧桂园滨海城 || 97平米 || 2500元/月
紫云雅苑 || 106平米 || 3500元/月
香水园 || 90平米 || 3600元/月
湘江楼 || 65平米 || 2900元/月
雅境新枫尚 || 58.12平米 || 2700元/月
望海楼北里 || 62.1平米 || 2500元/月
惠森花园 || 99平米 || 2000元/月
瑞海大厦 || 22.15平米 || 1650元/月
振河里 || 53平米 || 3200元/月
富力湾天阔园 || 90.17平米 || 2800元/月
通鑫园 || 104.52平米 || 3000元/月
融汇北苑 || 90.4平米 || 4800元/月
天桂里 || 45.23平米 || 1600元/月
跃进楼 || 10.67平米 || 800元/月
荣馨园 || 145平米 || 3300元/月
滨翔花园 || 87平米 || 2200元/月
假日风景花园 || 86平米 || 2500元/月
环球金融中心津门公寓 || 187.02平米 || 10000元/月
尚东馨园 || 94平米 || 3500元/月
旭日里 || 92.1平米 || 1700元/月
湯臣津湾一品 || 142平米 || 9500元/月
碧春园 || 52平米 || 1600元/月
西楼北里 || 22.86平米 || 1400元/月
龙都花园 || 49.61平米 || 2200元/月
礼貌楼 || 41.04平米 || 1500元/月
景园里 || 48.86平米 || 1800元/月
美坪园 || 106平米 || 5500元/月
昌海公寓 || 82.58平米 || 2800元/月
星环里 || 81平米 || 3000元/月
嫩江里 || 55.12平米 || 2000元/月
金泰丽湾 || 88.18平米 || 2500元/月
六维极景 || 56.99平米 || 2900元/月
台湾路 || 70.64平米 || 3500元/月
三和温泉花园人和园 || 80平米 || 2200元/月
欢颜东里 || 40.47平米 || 1300元/月
秋实园 || 57.14平米 || 2300元/月
花语轩 || 100平米 || 2800元/月
金东里 || 51平米 || 1600元/月
富满里 || 60平米 || 2000元/月
万科魅力之城格兰苑 || 80平米 || 2600元/月
渤海天易园 || 82.76平米 || 1900元/月
四化里 || 62平米 || 2600元/月
龙海公寓 || 103.21平米 || 5000元/月
同安里(南开区) || 83.33平米 || 3800元/月
东海岸家园 || 70平米 || 2000元/月
阳光晶典 || 107.25平米 || 5000元/月
万科双子座 || 87平米 || 3500元/月
阳光壹佰西园 || 57.9平米 || 2800元/月
龙亭家园 || 87.12平米 || 4000元/月
久安里 || 57.74平米 || 1300元/月
诚基经贸中心 || 68平米 || 2200元/月
天泉西里 || 42平米 || 1300元/月
新城小区 || 36平米 || 1600元/月
唐口新村六段 || 40平米 || 1600元/月
吉林路(和平区) || 61.64平米 || 3900元/月
恩德西里 || 35平米 || 1600元/月
华泰里 || 32平米 || 1400元/月
瑞益园 || 66平米 || 2300元/月
瑞通里 || 53.76平米 || 1700元/月
万通华府三期 || 88平米 || 5800元/月
联发第五街 || 96平米 || 3500元/月
宁乐里 || 59.96平米 || 2500元/月
富力城天康园 || 74平米 || 3800元/月
万科水晶城凭澜园 || 165平米 || 8000元/月
建湖里 || 31平米 || 1100元/月
昆仑北里C区 || 67.69平米 || 1700元/月
菁华津城 || 76平米 || 1600元/月
荣迁西里 || 41.58平米 || 1350元/月
大通时尚花园 || 102平米 || 3600元/月
诚基经贸中心 || 68.07平米 || 3100元/月
科园公寓 || 44平米 || 1400元/月
银都大厦 || 178平米 || 8000元/月
居祥里 || 45.48平米 || 1500元/月
崇明里 || 80.6平米 || 4500元/月
堤东里 || 35.39平米 || 1800元/月
奥城公寓 || 46平米 || 3500元/月
福至里 || 32平米 || 2200元/月
宜君北里 || 49平米 || 1700元/月
博泰大厦 || 59.12平米 || 3200元/月
赛园里 || 58.13平米 || 1700元/月
麦迪逊 || 76平米 || 3400元/月
碧水家园A区 || 102平米 || 3500元/月
贝肯山 || 99.32平米 || 5000元/月
清枫园 || 54.91平米 || 1750元/月
阳新里 || 62.09平米 || 1600元/月
融创中央学府 || 90.62平米 || 1800元/月
路劲太阳城 || 81平米 || 2800元/月
华亭国际 || 114.7平米 || 2800元/月
路劲太阳城 || 81平米 || 2800元/月
金谷园 || 48.35平米 || 2000元/月
新都花园 || 148.28平米 || 7000元/月
紫云雅苑 || 75平米 || 2600元/月
月环里 || 38.27平米 || 2400元/月
正荣润璟湾 || 82平米 || 2600元/月
朗文名邸 || 136平米 || 9000元/月
晋丰大厦 || 71.36平米 || 3800元/月
时代奥城 || 83平米 || 4800元/月
前程里(河西区) || 38平米 || 2400元/月
健美里 || 43.58平米 || 1600元/月
阳光新园 || 157平米 || 5500元/月
围堤道200号 || 43.16平米 || 1800元/月
悦海园 || 62平米 || 1800元/月
德庆里 || 31.14平米 || 1900元/月
中海学府公馆 || 53平米 || 2500元/月
中山门东里 || 65平米 || 2200元/月
红磡公寓 || 89.57平米 || 3600元/月
仁恒海河广场 || 90.85平米 || 7000元/月
南江东里 || 66平米 || 2500元/月
天津雅颂居 || 187平米 || 12000元/月
文静里 || 49.59平米 || 2000元/月
春华里 || 39.43平米 || 2500元/月
涪江北里 || 40平米 || 1550元/月
金泰新村 || 52.2平米 || 1800元/月
五一阳光皓日园 || 44.36平米 || 2600元/月
天津雅颂居 || 110.06平米 || 8000元/月
寿园里 || 45平米 || 1800元/月
湯臣津湾一品 || 174平米 || 15000元/月
芥园里 || 30.85平米 || 1500元/月
健生里 || 55平米 || 3800元/月
森淼公寓 || 236.02平米 || 13000元/月
雅江里 || 60.32平米 || 2300元/月
星河花园 || 114.07平米 || 3800元/月
寿园里 || 43.03平米 || 1800元/月
奥林匹克村 || 126.24平米 || 8500元/月
德望里 || 46平米 || 1600元/月
先进里 || 34.26平米 || 1500元/月
君悦花苑 || 122平米 || 1600元/月
熙汇广场 || 57.96平米 || 2600元/月
京津一品 || 110平米 || 3600元/月
新德里 || 55平米 || 2500元/月
德望里 || 35平米 || 1500元/月
海尔格林小镇 || 129.98平米 || 1900元/月
风荷园 || 59.14平米 || 2500元/月
嘉禧园 || 109.83平米 || 2500元/月
凤园里 || 58平米 || 2000元/月
金合园 || 109.87平米 || 3200元/月
尚东雅园 || 64平米 || 3000元/月
宾水南里 || 33.05平米 || 1600元/月
级升里 || 32.47平米 || 2200元/月
宾水西里 || 57平米 || 2300元/月
凤玉里 || 45平米 || 1800元/月
博轩园 || 138平米 || 8500元/月
阳光金地 || 46平米 || 2100元/月
裕德里 || 32.18平米 || 1600元/月
中建滨海壹号 || 120平米 || 2500元/月
浩天天娇源 || 308.11平米 || 12000元/月
富裕广场 || 104平米 || 4800元/月
芳水园 || 106.79平米 || 4200元/月
第六田园优仕庭园 || 110.85平米 || 3600元/月
津塘路15号 || 82平米 || 2600元/月
美宁公寓 || 45平米 || 2400元/月
华亭丽园 || 93平米 || 2500元/月
诚基经贸中心 || 56平米 || 2500元/月
新业丽湾酒店 || 98平米 || 2400元/月
万通新城国际 || 107平米 || 3800元/月
罗兰花园 || 120平米 || 5300元/月
东舍宅 || 37平米 || 1700元/月
尚东雅园 || 94平米 || 3700元/月
律笛里 || 70平米 || 2600元/月
水木天成碧杉园 || 95.93平米 || 2800元/月
泰安里 || 47平米 || 1400元/月
美丽心殿 || 430.26平米 || 8000元/月
紫金南里 || 59平米 || 2500元/月
义兴南里 || 16.16平米 || 1200元/月
程林里 || 59.79平米 || 2500元/月
富力津门湖江湾广场 || 102平米 || 3600元/月
城市之星大厦 || 41.81平米 || 1800元/月
盛海公寓 || 51.76平米 || 2200元/月
保利大都会天汇雅苑 || 82平米 || 5000元/月
朗庭园 || 91.41平米 || 3300元/月
恂园里 || 50平米 || 2000元/月
云广新里 || 43平米 || 1600元/月
东屏园 || 93平米 || 3200元/月
南通里 || 56.77平米 || 2900元/月
天津大都会SMART || 53.2平米 || 3700元/月
花港里 || 33平米 || 2000元/月
紫罗园 || 112平米 || 2500元/月
盈江东里 || 33.33平米 || 1800元/月
欢颜里(北辰区) || 60平米 || 1300元/月
艺术公寓 || 72平米 || 3500元/月
赏湖苑 || 88.82平米 || 2100元/月
子牙里 || 58.12平米 || 1800元/月
桃源观邸 || 91平米 || 2200元/月
庆荣里 || 37平米 || 2200元/月
清枫园 || 90平米 || 2500元/月
航天北里 || 48.01平米 || 2200元/月
晋宁北里 || 18.52平米 || 1200元/月
紫光苑 || 64.54平米 || 2900元/月
贻成峰景 || 50平米 || 1900元/月
邮电公寓 || 68平米 || 3100元/月
盛华园 || 89.42平米 || 3400元/月
广灵里 || 72.47平米 || 2300元/月
卡梅尔天淳园 || 170平米 || 6000元/月
雅境花语城 || 76.1平米 || 2600元/月
阳光壹佰西园 || 95平米 || 3200元/月
淮祥园 || 79.59平米 || 2300元/月
科馨别墅 || 485.61平米 || 35000元/月
春和仁居 || 97平米 || 3500元/月
水木天成碧杉园 || 103.93平米 || 3000元/月
懿德园 || 98.67平米 || 3600元/月
香颂园 || 68平米 || 1600元/月
舒畅欣园 || 78.4平米 || 2300元/月
南京路 || 101平米 || 5700元/月
君临大厦 || 90平米 || 3300元/月
富贵嘉园 || 80平米 || 2400元/月
贝肯山 || 108平米 || 5500元/月
信恒锦园 || 50平米 || 1500元/月
立兴里 || 37.25平米 || 1400元/月
览桥里 || 45平米 || 1200元/月
城市之光月光园 || 111.4平米 || 3500元/月
胜天里 || 31.91平米 || 1600元/月
金侨新梅江壹号 || 85平米 || 3600元/月
云成里 || 56.95平米 || 2700元/月
万科城盛锦苑 || 104.36平米 || 2500元/月
宁福里 || 130.19平米 || 5300元/月
迎水南里 || 45平米 || 1550元/月
日华里 || 96.74平米 || 3500元/月
都会轩 || 71.34平米 || 4000元/月
意境兰庭 || 130平米 || 3800元/月
前进新里 || 55平米 || 2000元/月
近园里 || 44.58平米 || 2800元/月
民建北里 || 37.72平米 || 1300元/月
正康里 || 95平米 || 2100元/月
奥城公寓 || 194.61平米 || 14000元/月
耀远里 || 37平米 || 1800元/月
远翠西里 || 68平米 || 1800元/月
武昌路 || 23.71平米 || 2300元/月
怀庆里 || 57平米 || 2200元/月
昆仑中心 || 55平米 || 3500元/月
月环里 || 40平米 || 1600元/月
新都大厦 || 70.4平米 || 3600元/月
华亭国际 || 115平米 || 5000元/月
嘉华新苑 || 93平米 || 2800元/月
首创城 || 99平米 || 1700元/月
鼎泰大厦 || 98.64平米 || 4800元/月
翠山楼 || 31.15平米 || 1400元/月
保利金融街诺丁山 || 92.26平米 || 1000元/月
荣鑫园 || 107.55平米 || 3000元/月
万科民和巷 || 92平米 || 2500元/月
惠州里 || 61平米 || 2800元/月
合作里 || 18平米 || 1500元/月
阳新里 || 42.57平米 || 1500元/月
富力又一城 || 74平米 || 2000元/月
景福里 || 40平米 || 2000元/月
金海湾花园 || 107.8平米 || 3300元/月
远洋心里 || 80平米 || 1500元/月
金水里 || 134.6平米 || 2400元/月
浩天天娇源 || 173.36平米 || 9000元/月
景兴西里 || 39.56平米 || 1600元/月
引河里 || 39.72平米 || 900元/月
京燕大厦 || 76平米 || 3800元/月
揽城苑 || 80平米 || 1500元/月
西青道楼 || 28.05平米 || 1300元/月
弘轩公寓 || 133.41平米 || 3300元/月
惠众家园 || 91平米 || 2300元/月
大连道(和平区) || 82.1平米 || 4600元/月
东惠家园 || 48.52平米 || 1600元/月
悦雅花园 || 59平米 || 1600元/月
兴泰西里 || 44.68平米 || 2300元/月
富力津门湖江湾广场 || 40.81平米 || 1600元/月
凯德国贸 || 84平米 || 11000元/月
浦江大厦 || 132平米 || 6500元/月
泰安道 || 378平米 || 37500元/月
新城小区 || 39.73平米 || 1650元/月
聚安西园 || 138.47平米 || 4600元/月
向阳小区 || 58.07平米 || 1700元/月
纯善里 || 38平米 || 1600元/月
柴楼竹园 || 112平米 || 1400元/月
嫩江里 || 46平米 || 1400元/月
顶佳金领地 || 670平米 || 33000元/月
福姜里 || 35.25平米 || 1100元/月
亚中花园 || 65.78平米 || 2600元/月
海河大观 || 74.78平米 || 3500元/月
天卉公寓 || 99.16平米 || 3000元/月
天四里 || 40平米 || 1950元/月
雅境新枫尚 || 61.5平米 || 2700元/月
广田里 || 59.08平米 || 2400元/月
紫金南里 || 58平米 || 2350元/月
前程里(河西区) || 46平米 || 2800元/月
世纪金三角公寓 || 121平米 || 4000元/月
四化里 || 60平米 || 2300元/月
宁波里 || 70.74平米 || 1500元/月
翠泉公寓 || 140平米 || 5000元/月
罗兰花园 || 230.21平米 || 9000元/月
涟源西里 || 80平米 || 2300元/月
天涛园 || 116平米 || 4700元/月
博文苑 || 236.88平米 || 6000元/月
爱民里 || 82平米 || 1700元/月
世纪梧桐公寓 || 112.5平米 || 3600元/月
港建里 || 45平米 || 2000元/月
西园西里 || 35平米 || 1500元/月
富力津门湖观鹭花园 || 239.98平米 || 8000元/月
美坪园 || 106平米 || 3200元/月
睿品大厦 || 60平米 || 2380元/月
俊城橡树原 || 188平米 || 9800元/月
华夏津典涟水园 || 161.77平米 || 5300元/月
川南里 || 60平米 || 1800元/月
云华里 || 108平米 || 3300元/月
吉宁里 || 46平米 || 1200元/月
城建里 || 25平米 || 1300元/月
龙顺御墅 || 184.91平米 || 5000元/月
宇萃里 || 51.06平米 || 1800元/月
天房美棠 || 97.27平米 || 4000元/月
阳光新干线 || 141平米 || 5500元/月
悦海园 || 92.64平米 || 2000元/月
祥泰公寓 || 158平米 || 3300元/月
来安里 || 53平米 || 1700元/月
万丽国际公寓 || 66.39平米 || 3500元/月
中海城市广场 || 73平米 || 4500元/月
三潭东里 || 44平米 || 1900元/月
复元里 || 51.09平米 || 3000元/月
首创城 || 98平米 || 2500元/月
津尚花园 || 92.61平米 || 2400元/月
美好里 || 66.86平米 || 2200元/月
金融街融御-融景华庭 || 114平米 || 5800元/月
彩丽园 || 89平米 || 2500元/月
玉泉里 || 73平米 || 2850元/月
云广新里 || 43平米 || 1600元/月
东屏园 || 93平米 || 3200元/月
程林里 || 60平米 || 1500元/月
滨尚花园 || 87平米 || 2100元/月
广灵里 || 72.47平米 || 2300元/月
卡梅尔天淳园 || 170平米 || 6000元/月
雅境花语城 || 76.1平米 || 2600元/月
福至里 || 32平米 || 1700元/月
天涛园 || 137平米 || 5500元/月
联盛大厦 || 60平米 || 1800元/月
华润橡树湾 || 94.02平米 || 2300元/月
同安北里 || 37.61平米 || 2200元/月
宜昌北里 || 46.5平米 || 2300元/月
湯臣津湾一品 || 116.18平米 || 6700元/月
凯德国贸 || 52.99平米 || 4000元/月
正源公寓 || 75.39平米 || 2300元/月
大众家园 || 85.69平米 || 1800元/月
民建北里 || 49.04平米 || 2000元/月
卫华里 || 51平米 || 3000元/月
万隆中心大厦 || 114.65平米 || 4200元/月
临池里 || 60.9平米 || 1900元/月
假日风景花园 || 163.1平米 || 4600元/月
罗兰花园 || 208平米 || 10000元/月
西楼北里 || 38平米 || 1800元/月
同庆后 || 28.89平米 || 1900元/月
山西路 || 256.17平米 || 30000元/月
阳光星期八昕旺南苑 || 96.84平米 || 3300元/月
景兴西里 || 23.56平米 || 1400元/月
咸阳南里 || 53.16平米 || 2300元/月
文静里 || 40.32平米 || 2300元/月
建北里(河北区) || 56平米 || 1500元/月
信昌大楼 || 68.41平米 || 3000元/月
滨海新城 || 157平米 || 5500元/月
中海金湖湾 || 87平米 || 2500元/月
临潼西里 || 40.33平米 || 1800元/月
第六田园优仕公寓 || 44.32平米 || 1800元/月
景隆大厦 || 95.9平米 || 5000元/月
远洋万和城 || 95.54平米 || 2500元/月
珠海里 || 60.07平米 || 2200元/月
静墅里 || 60平米 || 1900元/月
敬重里 || 30.38平米 || 1550元/月
首创悦山郡 || 96平米 || 2200元/月
泰达新天地 || 165平米 || 6500元/月
中骏柏景湾 || 94.9平米 || 1500元/月
广东山庄路 || 70平米 || 2200元/月
晨光楼 || 50.94平米 || 2300元/月
众诚里 || 55平米 || 2600元/月
海逸长洲瀚景园 || 87平米 || 4500元/月
恩德西里 || 39.09平米 || 1800元/月
恒大绿洲馨园 || 144平米 || 2300元/月
水榭花园 || 200平米 || 12000元/月
奕聪花园 || 166平米 || 8000元/月
义江里 || 41.29平米 || 1400元/月
祥福里 || 133平米 || 1600元/月
君临大厦 || 27.45平米 || 2800元/月
环秀西里 || 48平米 || 1600元/月
宇阳公寓 || 205.1平米 || 6800元/月
华云园 || 103平米 || 2700元/月
新华大厦 || 122.65平米 || 5000元/月
城市之光别馆公寓 || 91.26平米 || 3400元/月
丹荔园 || 102平米 || 2800元/月
华莹里 || 38平米 || 2200元/月
天津华侨城 || 134.4平米 || 2000元/月
河北路(和平区) || 37.57平米 || 2600元/月
华江里 || 52平米 || 2200元/月
中海金湖湾 || 94平米 || 2500元/月
恩德西里 || 58.32平米 || 2600元/月
长江里(塘沽区) || 67平米 || 2800元/月
湯臣津湾一品 || 115.15平米 || 6500元/月
宝福家园 || 82平米 || 2400元/月
爱华里 || 22.57平米 || 1600元/月
富民东里 || 120.51平米 || 3700元/月
水乡花园 || 74.2平米 || 3300元/月
滨河新苑 || 170平米 || 3500元/月
中信·珺台碧珺园 || 80平米 || 2500元/月
诚基经贸中心 || 109平米 || 4000元/月
岳康园 || 60平米 || 3600元/月
郑业里 || 78.85平米 || 4000元/月
春香里 || 37.27平米 || 2000元/月
同庆后 || 14.45平米 || 1500元/月
鹤望里 || 32.34平米 || 1700元/月
卡梅尔天澔园 || 247.57平米 || 10000元/月
保利金融街诺丁山 || 93平米 || 1600元/月
富贵嘉园 || 90.94平米 || 2900元/月
郁江南里 || 43.21平米 || 1800元/月
友谊东里 || 37.27平米 || 1700元/月
浦江大厦 || 105.71平米 || 5500元/月
江川里 || 45.68平米 || 3000元/月
中盛里 || 104平米 || 2700元/月
紫玉园 || 93.24平米 || 2800元/月
仁恒滨河湾 || 80平米 || 2200元/月
时代名居 || 57平米 || 2200元/月
城市星座大厦 || 123平米 || 5000元/月
凯德国贸 || 90平米 || 13000元/月
风采里 || 62.81平米 || 1800元/月
尚东雅园 || 121平米 || 3800元/月
华育里 || 58平米 || 2600元/月
中海御湖翰苑 || 43平米 || 2300元/月
万春美钻时代 || 76.24平米 || 2800元/月
天鹅湖天湖园 || 330平米 || 19800元/月
金茂广场 || 61.28平米 || 2700元/月
宸欣家园 || 94.61平米 || 2300元/月
光明里 || 34.91平米 || 1800元/月
第六田园优仕庭园 || 124.35平米 || 4300元/月
首玺 || 88.66平米 || 2600元/月
丹凤里 || 42平米 || 1350元/月
东瑞家园 || 72.92平米 || 1800元/月
东尚名居 || 89.52平米 || 3200元/月
新湾花园北园 || 66.21平米 || 1200元/月
云丽园 || 87.7平米 || 1100元/月
昆仑中心 || 82平米 || 4000元/月
智达里 || 89.7平米 || 2500元/月
城市星座大厦 || 106平米 || 4700元/月
